month,tmax_int,count
1,14,1
1,15,2
1,16,6
1,17,21
1,18,20
1,19,23
1,20,23
1,21,28
1,22,27
1,23,22
1,24,18
1,25,15
1,26,6
1,27,1
1,28,1
1,29,2
2,15,3
2,16,7
2,17,8
2,18,13
2,19,22
2,20,23
2,21,23
2,22,34
2,23,24
2,24,26
2,25,11
2,26,4
3,12,1
3,13,2
3,14,2
3,15,5
3,16,12
3,17,31
3,18,23
3,19,27
3,20,31
3,21,33
3,22,31
3,23,10
3,24,4
3,25,2
3,26,1
4,12,2
4,13,1
4,14,4
4,15,13
4,16,25
4,17,40
4,18,38
4,19,34
4,20,28
4,21,18
4,22,3
4,23,2
4,25,1
5,11,2
5,12,9
5,13,25
5,14,27
5,15,35
5,16,32
5,17,29
5,18,20
5,19,24
5,20,7
5,21,2
5,22,1
6,10,3
6,11,12
6,12,19
6,13,33
6,14,28
6,15,37
6,16,27
6,17,17
6,18,4
7,10,15
7,11,16
7,12,34
7,13,35
7,14,41
7,15,26
7,16,13
7,17,5
8,8,1
8,9,8
8,10,4
8,11,30
8,12,24
8,13,26
8,14,32
8,15,31
8,16,23
8,17,5
8,18,2
9,9,1
9,10,4
9,11,10
9,12,10
9,13,18
9,14,25
9,15,37
9,16,46
9,17,20
9,18,4
9,19,4
9,20,1
10,10,2
10,11,4
10,12,9
10,13,9
10,14,14
10,15,22
10,16,33
10,17,41
10,18,27
10,19,16
10,20,7
10,21,1
11,11,1
11,12,1
11,13,7
11,14,5
11,15,10
11,16,15
11,17,18
11,18,33
11,19,38
11,20,23
11,21,18
11,22,9
11,23,1
11,24,1
12,14,3
12,15,6
12,16,18
12,17,10
12,18,16
12,19,23
12,20,30
12,21,28
12,22,25
12,23,20
12,24,6
12,26,1
